T [*C]	I [mA]	U1[V]	U2[V]
20.00	9.08126	-0.0286	0.0526
22.50	9.13722	-0.0288	0.0521
25.00	8.93367	-0.0280	0.0524
27.50	9.02621	-0.0280	0.0523
30.00	9.03138	-0.0277	0.0517
32.50	9.15225	-0.0279	0.0519
35.00	9.14299	-0.0273	0.0520
37.50	9.21506	-0.0267	0.0506
40.00	9.25315	-0.0260	0.0497
42.50	9.19995	-0.0258	0.0499
45.00	9.29960	-0.0250	0.0489
47.50	9.44975	-0.0243	0.0483
50.00	9.55002	-0.0226	0.0464
52.50	9.71406	-0.0215	0.0452
55.00	9.78027	-0.0210	0.0447
57.50	10.29486	-0.0175	0.0411
60.00	10.32568	-0.0170	0.0410
62.50	10.98804	-0.0148	0.0388
65.00	10.95667	-0.0151	0.0388
67.50	11.92121	-0.0127	0.0368
70.00	11.63095	-0.0133	0.0369
72.50	12.77764	-0.0123	0.0362
75.00	14.08088	-0.0119	0.0360
77.50	14.39371	-0.0121	0.0359
80.00	18.56336	-0.0138	0.0382
