# T1 measurement for water-ion mixture
# TAU (x1)        U (V)
     0         0.82
    10         1.63
    20         1.91
    30         1.80
    40         2.85
    50         2.49
    60         3.50
    70         3.34
    80         3.78
    90         3.78
   100         3.70
   150         4.36
   200         5.29
   250         5.16
   300         5.36
   350         5.39
   400         4.98
   450         5.13
   500         5.56
   600         5.15
   700         5.32
