# T2 measurement using the water-ion mixture
# TAU (x1)        U (V)
     0         1.56
     5         1.30
    10         0.94
    15         0.90
    20         0.55
    25         0.40
    30         0.39
    35         0.49
    40         0.21
    45         0.21
    50         0.15
    55         0.20
    60         0.14
    65         0.03
    70         0.13
    75         0.05
    80         0.02
    85         0.03
    90         0.10
    95         0.11
   100        -0.03
