1. Signal proste precesije pri optimalni legi sonde: 
Glej sliko fid_57.png

2. Kalibracija TAU pri ojaèanju x1: 
TAU (x1)       t (ms)
     0         1.12
    50         2.76
   100         4.87
   150         6.83
   200         8.80
   250        10.59
   300        12.62

3. Kalibracija TAU pri ojaèanju x100: 
TAU (x100)       t (ms)
     0           90
    10          140
    20          188
    30          236
    40          287
    50          336
    70          431
    80          479
    90          529
   100          581

4. T2 meritev na vzorcu vode z ioni: 
TAU (x1)        U (V)
     0         1.56
     5         1.30
    10         0.94
    15         0.90
    20         0.55
    25         0.40
    30         0.39
    35         0.49
    40         0.21
    45         0.21
    50         0.15
    55         0.20
    60         0.14
    65         0.03
    70         0.13
    75         0.05
    80         0.02
    85         0.03
    90         0.10
    95         0.11
   100        -0.03

5. T1 meritev na vzorcu vode z ioni: 
TAU (x1)        U (V)
     0         0.82
    10         1.63
    20         1.91
    30         1.80
    40         2.85
    50         2.49
    60         3.50
    70         3.34
    80         3.78
    90         3.78
   100         3.70
   150         4.36
   200         5.29
   250         5.16
   300         5.36
   350         5.39
   400         4.98
   450         5.13
   500         5.56
   600         5.15
   700         5.32

6. T1 meritev na vzorcu vodovodne vode: 
TAU (x100)        U (V)
     0          1.3
    50          1.4
   100          1.6
   150          1.7
   200          1.5
   250          1.6
   300          1.9
   350          1.8
   400          1.7
   450          2.0
   500          2.0
   550          1.8
   600          2.2
   650          2.1
   700          2.1
   750          2.1
   800          2.1
   850          2.2
   900          2.2
   950          2.4
  1000          2.3
