Total counts: 77706
Active taps: 162
Average width: 17.64 ps
Temperature: 58.4 °C

Bin	Counts	Bin width [ps]	Time [ps]	DNL [LSB]	INL [LSB]
1	1078	39.64	19.82	1.2474	1.247
2	1128	41.48	60.37	1.3516	2.599
3	1301	47.84	105.03	1.7123	4.311
4	757	27.83	142.86	0.5782	4.890
5	151	5.55	159.56	-0.6852	4.204
6	875	32.17	178.42	0.8242	5.028
7	28	1.03	195.02	-0.9416	4.087
8	622	22.87	206.97	0.2967	4.384
9	199	7.32	222.06	-0.5851	3.798
10	942	34.64	243.04	0.9639	4.762
11	65	2.39	261.55	-0.8645	3.898
12	952	35.00	280.25	0.9847	4.883
13	13	0.48	297.99	-0.9729	3.910
14	911	33.50	314.98	0.8992	4.809
15	84	3.09	333.27	-0.8249	3.984
16	1710	62.87	366.25	2.5650	6.549
17	96	3.53	399.45	-0.7999	5.749
18	888	32.65	417.54	0.8513	6.600
19	20	0.74	434.24	-0.9583	5.642
20	26	0.96	435.08	-0.9458	4.696
21	110	4.04	437.58	-0.7707	3.926
22	768	28.24	453.72	0.6011	4.527
23	237	8.71	472.20	-0.5059	4.021
24	912	33.53	493.32	0.9013	4.922
25	138	5.07	512.63	-0.7123	4.210
26	626	23.02	526.67	0.3051	4.515
27	283	10.41	543.39	-0.4100	4.105
28	130	4.78	550.98	-0.7290	3.376
29	30	1.10	553.92	-0.9375	2.438
30	846	31.11	570.02	0.7637	3.202
31	306	11.25	591.20	-0.3621	2.840
32	1908	70.15	631.91	2.9778	5.818
33	180	6.62	670.29	-0.6247	5.193
34	781	28.72	687.96	0.6282	5.821
35	201	7.39	706.01	-0.5810	5.240
36	479	17.61	718.51	-0.0014	5.239
37	218	8.02	731.33	-0.5455	4.694
38	1068	39.27	754.97	1.2265	5.920
39	47	1.73	775.47	-0.9020	5.018
40	21	0.77	776.72	-0.9562	4.062
41	34	1.25	777.73	-0.9291	3.133
42	900	33.09	794.90	0.8763	4.009
43	340	12.50	817.70	-0.2912	3.718
44	1738	63.90	855.90	2.6233	6.341
45	432	15.88	895.79	-0.0994	6.242
46	785	28.86	918.17	0.6366	6.878
47	187	6.88	936.04	-0.6101	6.268
48	140	5.15	942.05	-0.7081	5.560
49	216	7.94	948.59	-0.5497	5.010
50	637	23.42	964.28	0.3280	5.338
51	19	0.70	976.34	-0.9604	4.378
52	387	14.23	983.80	-0.1932	4.185
53	129	4.74	993.29	-0.7311	3.454
54	446	16.40	1003.86	-0.0702	3.384
55	163	5.99	1015.05	-0.6602	2.723
56	1999	73.50	1054.80	3.1675	5.891
57	155	5.70	1094.40	-0.6769	5.214
58	984	36.18	1115.34	1.0514	6.265
59	16	0.59	1133.72	-0.9666	5.299
60	793	29.16	1148.60	0.6532	5.952
61	207	7.61	1166.98	-0.5685	5.384
62	870	31.99	1186.78	0.8138	6.197
63	139	5.11	1205.33	-0.7102	5.487
64	1006	36.99	1226.38	1.0973	6.584
65	131	4.82	1247.28	-0.7269	5.858
66	318	11.69	1255.54	-0.3370	5.521
67	210	7.72	1265.25	-0.5622	4.958
68	269	9.89	1274.05	-0.4392	4.519
69	61	2.24	1280.12	-0.8728	3.646
70	368	13.53	1288.00	-0.2328	3.413
71	300	11.03	1300.29	-0.3746	3.039
72	867	31.88	1321.74	0.8075	3.846
73	91	3.35	1339.35	-0.8103	3.036
74	831	30.55	1356.30	0.7325	3.769
75	77	2.83	1373.00	-0.8395	2.929
76	1095	40.26	1394.54	1.2828	4.212
77	13	0.48	1414.91	-0.9729	3.239
78	922	33.90	1432.10	0.9222	4.161
79	63	2.32	1450.21	-0.8687	3.293
80	260	9.56	1456.15	-0.4580	2.835
81	126	4.63	1463.24	-0.7373	2.097
82	863	31.73	1481.43	0.7992	2.896
83	293	10.77	1502.68	-0.3892	2.507
84	877	32.25	1524.19	0.8284	3.336
85	180	6.62	1543.62	-0.6247	2.711
86	589	21.66	1557.76	0.2279	2.939
87	241	8.86	1573.02	-0.4976	2.441
88	1022	37.58	1596.24	1.1306	3.572
89	76	2.79	1616.42	-0.8416	2.730
90	829	30.48	1633.06	0.7283	3.459
91	335	12.32	1654.46	-0.3016	3.157
92	277	10.18	1665.71	-0.4225	2.735
93	143	5.26	1673.43	-0.7019	2.033
94	855	31.44	1691.78	0.7825	2.815
95	12	0.44	1707.72	-0.9750	1.840
96	1113	40.92	1728.40	1.3204	3.161
97	11	0.40	1749.07	-0.9771	2.183
98	720	26.47	1762.50	0.5010	2.685
99	321	11.80	1781.64	-0.3308	2.354
100	921	33.86	1804.48	0.9201	3.274
101	12	0.44	1821.63	-0.9750	2.299
102	830	30.52	1837.11	0.7304	3.029
103	190	6.99	1855.86	-0.6039	2.425
104	990	36.40	1877.55	1.0639	3.489
105	92	3.38	1897.44	-0.8082	2.681
106	819	30.11	1914.19	0.7074	3.388
107	266	9.78	1934.14	-0.4454	2.943
108	487	17.91	1947.98	0.0153	2.958
109	200	7.35	1960.61	-0.5830	2.375
110	822	30.22	1979.40	0.7137	3.089
111	100	3.68	1996.35	-0.7915	2.297
112	862	31.69	2014.04	0.7971	3.095
113	15	0.55	2030.16	-0.9687	2.126
114	816	30.00	2045.44	0.7012	2.827
115	211	7.76	2064.32	-0.5601	2.267
116	429	15.77	2076.09	-0.1056	2.161
117	49	1.80	2084.87	-0.8978	1.263
118	888	32.65	2102.10	0.8513	2.115
119	134	4.93	2120.89	-0.7206	1.394
120	1539	56.59	2151.64	2.2085	3.603
121	132	4.85	2182.37	-0.7248	2.878
122	787	28.94	2199.26	0.6407	3.518
123	61	2.24	2214.85	-0.8728	2.646
124	838	30.81	2231.38	0.7470	3.393
125	67	2.46	2248.02	-0.8603	2.532
126	911	33.50	2266.00	0.8992	3.432
127	161	5.92	2285.70	-0.6644	2.767
128	528	19.41	2298.37	0.1008	2.868
129	77	2.83	2309.49	-0.8395	2.028
