START: TDC 0
STOP: TDC 1
From: -200000 ps
To: 200000 ps
START counts: 81459
STOP counts: 54251
Measurements: 16955
Elapsed time: 30.1 s
Offset: 0.000 ps

Time [ps]	Counts
-200000.000	3
-198000.000	3
-196000.000	7
-194000.000	4
-192000.000	5
-190000.000	4
-188000.000	6
-186000.000	5
-184000.000	4
-182000.000	5
-180000.000	3
-178000.000	11
-176000.000	8
-174000.000	9
-172000.000	7
-170000.000	7
-168000.000	10
-166000.000	10
-164000.000	12
-162000.000	16
-160000.000	20
-158000.000	13
-156000.000	12
-154000.000	19
-152000.000	19
-150000.000	24
-148000.000	9
-146000.000	22
-144000.000	22
-142000.000	31
-140000.000	40
-138000.000	29
-136000.000	36
-134000.000	45
-132000.000	43
-130000.000	61
-128000.000	55
-126000.000	63
-124000.000	65
-122000.000	37
-120000.000	92
-118000.000	73
-116000.000	51
-114000.000	56
-112000.000	47
-110000.000	79
-108000.000	100
-106000.000	74
-104000.000	63
-102000.000	70
-100000.000	51
-98000.000	117
-96000.000	67
-94000.000	72
-92000.000	77
-90000.000	53
-88000.000	81
-86000.000	71
-84000.000	56
-82000.000	61
-80000.000	48
-78000.000	57
-76000.000	68
-74000.000	39
-72000.000	72
-70000.000	27
-68000.000	103
-66000.000	60
-64000.000	42
-62000.000	61
-60000.000	68
-58000.000	73
-56000.000	67
-54000.000	35
-52000.000	71
-50000.000	80
-48000.000	32
-46000.000	82
-44000.000	10
-42000.000	56
-40000.000	10
-38000.000	125
-36000.000	154
-34000.000	78
-32000.000	105
-30000.000	87
-28000.000	124
-26000.000	126
-24000.000	89
-22000.000	105
-20000.000	107
-18000.000	150
-16000.000	142
-14000.000	164
-12000.000	133
-10000.000	143
-8000.000	198
-6000.000	184
-4000.000	218
-2000.000	223
0.000	191
2000.000	245
4000.000	240
6000.000	246
8000.000	217
10000.000	228
12000.000	204
14000.000	237
16000.000	211
18000.000	148
20000.000	230
22000.000	276
24000.000	169
26000.000	179
28000.000	253
30000.000	271
32000.000	245
34000.000	268
36000.000	231
38000.000	250
40000.000	309
42000.000	269
44000.000	205
46000.000	180
48000.000	199
50000.000	202
52000.000	213
54000.000	200
56000.000	134
58000.000	145
60000.000	144
62000.000	137
64000.000	141
66000.000	117
68000.000	102
70000.000	99
72000.000	108
74000.000	100
76000.000	127
78000.000	104
80000.000	91
82000.000	86
84000.000	78
86000.000	77
88000.000	95
90000.000	103
92000.000	79
94000.000	71
96000.000	98
98000.000	68
100000.000	87
102000.000	93
104000.000	81
106000.000	70
108000.000	82
110000.000	97
112000.000	81
114000.000	83
116000.000	82
118000.000	72
120000.000	76
122000.000	81
124000.000	76
126000.000	70
128000.000	71
130000.000	58
132000.000	91
134000.000	82
136000.000	61
138000.000	68
140000.000	54
142000.000	71
144000.000	55
146000.000	48
148000.000	41
150000.000	35
152000.000	37
154000.000	34
156000.000	21
158000.000	39
160000.000	29
162000.000	32
164000.000	30
166000.000	26
168000.000	25
170000.000	20
172000.000	19
174000.000	14
176000.000	13
178000.000	15
180000.000	4
182000.000	12
184000.000	8
186000.000	12
188000.000	9
190000.000	8
192000.000	8
194000.000	10
196000.000	6
198000.000	7
