START: TDC 0
STOP: TDC 1
From: -200000 ps
To: 200000 ps
START counts: 80839
STOP counts: 54140
Measurements: 17169
Elapsed time: 30.0 s
Offset: 0.000 ps

Time [ps]	Counts
-200000.000	2
-198000.000	5
-196000.000	7
-194000.000	5
-192000.000	10
-190000.000	9
-188000.000	6
-186000.000	4
-184000.000	1
-182000.000	5
-180000.000	6
-178000.000	7
-176000.000	3
-174000.000	5
-172000.000	5
-170000.000	6
-168000.000	6
-166000.000	14
-164000.000	19
-162000.000	7
-160000.000	11
-158000.000	16
-156000.000	14
-154000.000	18
-152000.000	18
-150000.000	24
-148000.000	12
-146000.000	23
-144000.000	30
-142000.000	22
-140000.000	52
-138000.000	34
-136000.000	48
-134000.000	45
-132000.000	38
-130000.000	46
-128000.000	61
-126000.000	47
-124000.000	71
-122000.000	44
-120000.000	81
-118000.000	92
-116000.000	59
-114000.000	60
-112000.000	52
-110000.000	74
-108000.000	98
-106000.000	75
-104000.000	54
-102000.000	87
-100000.000	65
-98000.000	96
-96000.000	77
-94000.000	51
-92000.000	97
-90000.000	53
-88000.000	93
-86000.000	53
-84000.000	46
-82000.000	80
-80000.000	58
-78000.000	46
-76000.000	87
-74000.000	51
-72000.000	72
-70000.000	49
-68000.000	56
-66000.000	73
-64000.000	41
-62000.000	38
-60000.000	68
-58000.000	67
-56000.000	96
-54000.000	18
-52000.000	67
-50000.000	79
-48000.000	43
-46000.000	63
-44000.000	19
-42000.000	42
-40000.000	31
-38000.000	61
-36000.000	227
-34000.000	87
-32000.000	109
-30000.000	91
-28000.000	111
-26000.000	142
-24000.000	118
-22000.000	114
-20000.000	91
-18000.000	155
-16000.000	164
-14000.000	171
-12000.000	154
-10000.000	163
-8000.000	184
-6000.000	222
-4000.000	234
-2000.000	211
0.000	164
2000.000	258
4000.000	211
6000.000	206
8000.000	194
10000.000	218
12000.000	213
14000.000	257
16000.000	260
18000.000	172
20000.000	215
22000.000	285
24000.000	175
26000.000	160
28000.000	256
30000.000	252
32000.000	245
34000.000	252
36000.000	228
38000.000	209
40000.000	257
42000.000	280
44000.000	236
46000.000	258
48000.000	200
50000.000	166
52000.000	227
54000.000	219
56000.000	158
58000.000	133
60000.000	148
62000.000	103
64000.000	148
66000.000	147
68000.000	96
70000.000	87
72000.000	81
74000.000	104
76000.000	120
78000.000	100
80000.000	82
82000.000	81
84000.000	106
86000.000	90
88000.000	86
90000.000	92
92000.000	98
94000.000	85
96000.000	96
98000.000	92
100000.000	86
102000.000	104
104000.000	82
106000.000	73
108000.000	71
110000.000	74
112000.000	95
114000.000	97
116000.000	93
118000.000	88
120000.000	72
122000.000	60
124000.000	73
126000.000	64
128000.000	71
130000.000	62
132000.000	80
134000.000	68
136000.000	66
138000.000	66
140000.000	76
142000.000	51
144000.000	58
146000.000	59
148000.000	41
150000.000	39
152000.000	39
154000.000	36
156000.000	27
158000.000	37
160000.000	24
162000.000	29
164000.000	33
166000.000	27
168000.000	22
170000.000	27
172000.000	15
174000.000	17
176000.000	16
178000.000	17
180000.000	9
182000.000	12
184000.000	13
186000.000	12
188000.000	4
190000.000	13
192000.000	13
194000.000	11
196000.000	10
198000.000	9
