START: TDC 0
STOP: TDC 1
From: -200000 ps
To: 200000 ps
START counts: 80770
STOP counts: 54001
Measurements: 205
Elapsed time: 30.1 s
Offset: 0.000 ps

Time [ps]	Counts
-140000.000	0
-138000.000	1
-136000.000	0
-134000.000	0
-132000.000	1
-130000.000	2
-128000.000	0
-126000.000	1
-124000.000	2
-122000.000	1
-120000.000	1
-118000.000	2
-116000.000	1
-114000.000	0
-112000.000	0
-110000.000	2
-108000.000	0
-106000.000	0
-104000.000	0
-102000.000	0
-100000.000	0
-98000.000	2
-96000.000	1
-94000.000	0
-92000.000	0
-90000.000	1
-88000.000	0
-86000.000	0
-84000.000	0
-82000.000	1
-80000.000	0
-78000.000	0
-76000.000	0
-74000.000	1
-72000.000	0
-70000.000	1
-68000.000	0
-66000.000	0
-64000.000	2
-62000.000	0
-60000.000	0
-58000.000	1
-56000.000	0
-54000.000	0
-52000.000	1
-50000.000	0
-48000.000	0
-46000.000	0
-44000.000	0
-42000.000	0
-40000.000	3
-38000.000	0
-36000.000	0
-34000.000	1
-32000.000	1
-30000.000	0
-28000.000	0
-26000.000	1
-24000.000	0
-22000.000	2
-20000.000	1
-18000.000	1
-16000.000	0
-14000.000	0
-12000.000	0
-10000.000	0
-8000.000	1
-6000.000	0
-4000.000	0
-2000.000	1
0.000	0
2000.000	0
4000.000	0
6000.000	0
8000.000	0
10000.000	0
12000.000	0
14000.000	0
16000.000	0
18000.000	0
20000.000	0
22000.000	0
24000.000	0
26000.000	0
28000.000	0
30000.000	0
32000.000	1
34000.000	0
36000.000	1
38000.000	0
40000.000	0
42000.000	0
44000.000	0
46000.000	1
48000.000	0
50000.000	0
52000.000	0
54000.000	0
56000.000	0
58000.000	0
60000.000	1
62000.000	1
64000.000	1
66000.000	0
68000.000	0
70000.000	1
72000.000	0
74000.000	0
76000.000	0
78000.000	0
80000.000	1
82000.000	0
84000.000	0
86000.000	0
88000.000	0
90000.000	1
92000.000	0
94000.000	0
96000.000	0
98000.000	0
100000.000	0
102000.000	1
104000.000	0
106000.000	0
108000.000	1
110000.000	1
112000.000	0
114000.000	1
116000.000	0
118000.000	0
120000.000	0
122000.000	0
124000.000	0
126000.000	0
128000.000	0
130000.000	0
132000.000	1
134000.000	0
136000.000	0
138000.000	0
140000.000	0
