START: TDC 0
STOP: TDC 0
From: -48000000000 ps
To: 48000000000 ps
START counts: 56019
STOP counts: 56019
Measurements: 55991
Elapsed time: 30.0 s
Offset: 0.000 ps

Time [ps]	Counts
0.000	1916
26800000.000	2764
53600000.000	2569
80400000.000	2486
107200000.000	2394
134000000.000	2275
160800000.000	2234
187600000.000	1983
214400000.000	1902
241200000.000	1882
268000000.000	1701
294800000.000	1623
321600000.000	1595
348400000.000	1461
375200000.000	1398
402000000.000	1319
428800000.000	1259
455600000.000	1162
482400000.000	1125
509200000.000	1076
536000000.000	1039
562800000.000	975
589600000.000	885
616400000.000	840
643200000.000	826
670000000.000	807
696800000.000	727
723600000.000	654
750400000.000	621
777200000.000	643
804000000.000	572
830800000.000	602
857600000.000	547
884400000.000	529
911200000.000	528
938000000.000	489
964800000.000	461
991600000.000	395
1018400000.000	399
1045200000.000	375
1072000000.000	386
1098800000.000	332
1125600000.000	318
1152400000.000	295
1179200000.000	295
1206000000.000	272
1232800000.000	226
1259600000.000	253
1286400000.000	231
1313200000.000	244
1340000000.000	212
1366800000.000	203
1393600000.000	179
1420400000.000	171
1447200000.000	185
1474000000.000	189
1500800000.000	136
1527600000.000	152
1554400000.000	147
1581200000.000	112
1608000000.000	125
1634800000.000	114
1661600000.000	102
1688400000.000	99
1715200000.000	105
1742000000.000	98
1768800000.000	97
1795600000.000	94
1822400000.000	74
1849200000.000	75
1876000000.000	73
1902800000.000	72
1929600000.000	84
1956400000.000	62
1983200000.000	54
2010000000.000	62
2036800000.000	50
2063600000.000	61
2090400000.000	57
2117200000.000	44
2144000000.000	29
2170800000.000	48
2197600000.000	38
2224400000.000	36
2251200000.000	34
2278000000.000	29
2304800000.000	36
2331600000.000	27
2358400000.000	28
2385200000.000	30
2412000000.000	21
2438800000.000	15
2465600000.000	30
2492400000.000	22
2519200000.000	17
2546000000.000	14
2572800000.000	22
2599600000.000	17
2626400000.000	9
2653200000.000	15
2680000000.000	14
2706800000.000	11
2733600000.000	16
2760400000.000	12
2787200000.000	17
2814000000.000	13
2840800000.000	9
2867600000.000	14
2894400000.000	15
2921200000.000	13
2948000000.000	7
2974800000.000	8
3001600000.000	5
3028400000.000	11
3055200000.000	9
3082000000.000	14
3108800000.000	4
3135600000.000	5
3162400000.000	7
3189200000.000	3
3216000000.000	1
3242800000.000	6
3269600000.000	2
3296400000.000	5
3323200000.000	1
3350000000.000	5
3376800000.000	6
3403600000.000	3
3430400000.000	3
3457200000.000	3
3484000000.000	2
3510800000.000	7
3537600000.000	3
3564400000.000	4
3591200000.000	4
3618000000.000	5
3644800000.000	2
3671600000.000	2
3698400000.000	1
3725200000.000	1
3752000000.000	0
3778800000.000	0
3805600000.000	2
3832400000.000	0
3859200000.000	2
3886000000.000	2
3912800000.000	0
3939600000.000	2
3966400000.000	0
3993200000.000	1
4020000000.000	0
4046800000.000	0
4073600000.000	1
4100400000.000	0
4127200000.000	0
4154000000.000	2
4180800000.000	1
4207600000.000	0
4234400000.000	1
4261200000.000	1
4288000000.000	1
4314800000.000	0
4341600000.000	0
4368400000.000	0
4395200000.000	0
4422000000.000	1
4448800000.000	0
4475600000.000	0
4502400000.000	0
4529200000.000	0
4556000000.000	0
4582800000.000	1
4609600000.000	0
4636400000.000	0
4663200000.000	0
4690000000.000	0
4716800000.000	0
4743600000.000	0
4770400000.000	0
4797200000.000	1
4824000000.000	0
4850800000.000	0
4877600000.000	0
4904400000.000	0
4931200000.000	0
4958000000.000	0
4984800000.000	0
5011600000.000	0
5038400000.000	1
5065200000.000	0
5092000000.000	0
5118800000.000	0
5145600000.000	1
5172400000.000	0
5199200000.000	0
5226000000.000	1
5252800000.000	0
5279600000.000	0
5306400000.000	0
5333200000.000	1
