START: TDC 0
STOP: TDC 1
From: -500000 ps
To: 500000 ps
START counts: 55003
STOP counts: 54576
Measurements: 54557
Elapsed time: 30.1 s
Offset: 0.000 ps

Time [ps]	Counts
137.000	1
138.345	0
139.690	0
141.035	0
142.380	0
143.725	0
145.070	0
146.415	0
147.760	0
149.105	0
150.450	0
151.795	0
153.140	0
154.485	0
155.830	0
157.175	0
158.520	0
159.865	0
161.210	0
162.555	1
163.900	0
165.245	0
166.590	0
167.935	0
169.280	0
170.625	0
171.970	0
173.315	0
174.660	0
176.005	0
177.350	0
178.695	0
180.040	0
181.385	0
182.730	0
184.075	0
185.420	0
186.765	1
188.110	0
189.455	0
190.800	0
192.145	0
193.490	0
194.835	0
196.180	0
197.525	0
198.870	0
200.215	2
201.560	1
202.905	0
204.250	0
205.595	2
206.940	0
208.285	0
209.630	0
210.975	5
212.320	6
213.665	0
215.010	22
216.355	5
217.700	5
219.045	2
220.390	64
221.735	48
223.080	0
224.425	0
225.770	4
227.115	33
228.460	1
229.805	82
231.150	181
232.495	36
233.840	61
235.185	155
236.530	51
237.875	50
239.220	130
240.565	157
241.910	300
243.255	156
244.600	246
245.945	361
247.290	853
248.635	597
249.980	151
251.325	49
252.670	326
254.015	709
255.360	406
256.705	293
258.050	1370
259.395	850
260.740	1051
262.085	938
263.430	1839
264.775	1771
266.120	873
267.465	1383
268.810	1414
270.155	1403
271.500	348
272.845	693
274.190	1980
275.535	1069
276.880	2260
278.225	2474
279.570	847
280.915	1425
282.260	2932
283.605	3088
284.950	808
286.295	407
287.640	1224
288.985	1557
290.330	684
291.675	2252
293.020	1596
294.365	439
295.710	1397
297.055	1071
298.400	702
299.745	637
301.090	439
302.435	539
303.780	444
305.125	425
306.470	1294
307.815	95
309.160	243
310.505	146
311.850	420
313.195	483
314.540	188
315.885	82
317.230	356
318.575	102
319.920	4
321.265	441
322.610	79
323.955	121
325.300	180
326.645	0
327.990	7
329.335	34
330.680	8
332.025	2
333.370	11
334.715	52
336.060	0
337.405	2
338.750	0
340.095	17
341.440	0
342.785	1
344.130	1
345.475	0
346.820	0
348.165	1
349.510	0
350.855	0
352.200	3
353.545	0
354.890	0
356.235	1
357.580	0
358.925	0
360.270	0
361.615	0
362.960	0
364.305	0
365.650	0
366.995	0
368.340	0
369.685	0
371.030	0
372.375	0
373.720	0
375.065	0
376.410	0
377.755	0
379.100	0
380.445	0
381.790	0
383.135	0
384.480	0
385.825	0
387.170	0
388.515	0
389.860	0
391.205	0
392.550	0
393.895	0
395.240	0
396.585	0
397.930	0
399.275	0
400.620	0
401.965	0
403.310	0
404.655	1
