"U (V)" "I (nA) pri 35 kV" "I (nA) pri 30 kV" "I (nA) pri 25 kV" "I (nA) pri 20 kV" "I (nA) pri 15 kV"
8 0.145437586990734 0.129924888698848 0.0887621762707678 0.0542362492502008 0.0169107223804436
18 0.344971327198041 0.268859743764419 0.194038375504938 0.110121725067897 0.025014830289701
28 0.47414193266471 0.398424841099915 0.271156452564867 0.135357022725176 0.0274901775717316
38 0.622666114075628 0.481698797539804 0.303717885987478 0.14693927236288 0.0296128767721413
48 0.731270079000762 0.538902857490669 0.368554173676393 0.190907937518827 0.038839417160243
58 0.858961901472969 0.621086205964459 0.415373894948733 0.20132945673706 0.0325088171910729
68 0.938973647844094 0.61820971961252 0.416121878104392 0.185667401054363 0.0332356645362033
78 0.921833582813034 0.647030510720708 0.413301706724458 0.217349527230144 0.0349997342256467
88 0.972119169984012 0.68720715234884 0.433756386702487 0.195213770948786 0.0403478428134482
98 1.02098635895025 0.702506557011687 0.397224885663864 0.208670132830631 0.0314689604616284
128 0.98585252868919 0.682404384510613 0.414817838484085 0.180069774668573 0.0373250367255471
158 0.998496577909358 0.618282698614346 0.346739672685479 0.181015362897023 0.0328838634825021
188 0.920091135910335 0.643452029295136 0.365486559555917 0.168409093128073 0.0300909943493294
218 0.858580146519207 0.577783686498552 0.324049012549432 0.141996806467219 0.0375850413744912
248 0.862714300040803 0.55110744970982 0.33236845706194 0.122001911587717 0.0337147186527849
278 0.873809184945114 0.540903562969081 0.27191789759914 0.11852663837503 0.0263167982819
308 0.840956603032306 0.505016401365488 0.255832372657559 0.11863033258185 0.030825959739595
338 0.770850786076568 0.470196110630176 0.255672762648051 0.094000987468517 0.0265551867950435
368 0.773994066245096 0.463417821330128 0.231781412254671 0.0984022758778649 0.034396634972395
398 0.738830034348591 0.479527826961496 0.247218958584345 0.0829614161025017 0.0332541207251284
