# M=N,Vectorized Time [s],Hybrid Time [s], Python Loop Time [s]
1,3.11875343e-03,1.34396553e-03,2.94923782e-04
2,2.48694420e-03,3.26585770e-03,1.03497505e-03
3,3.63302231e-03,4.22310829e-03,2.84814835e-03
4,2.95400620e-03,5.20777702e-03,6.25729561e-03
5,3.20291519e-03,6.77919388e-03,1.09510422e-02
6,4.03594971e-03,7.76100159e-03,1.88241005e-02
7,4.14586067e-03,9.14001465e-03,2.92060375e-02
8,4.63628769e-03,1.09379292e-02,4.15987968e-02
9,7.44819641e-03,2.06470490e-02,6.40981197e-02
10,5.56898117e-03,1.30019188e-02,7.70618916e-02
20,2.26800442e-02,3.76508236e-02,5.69726944e-01
30,7.65659809e-02,9.77711678e-02,2.00248408e+00
40,2.01354980e-01,3.06044817e-01,4.58646393e+00
50,3.61204863e-01,3.50194931e-01,9.50227189e+00
60,6.76283360e-01,6.43726826e-01,1.83461361e+01
70,7.49911070e-01,7.70354271e-01,2.49611561e+01
80,1.16284418e+00,1.15987611e+00,4.30184119e+01
90,2.26780105e+00,3.15491891e+00,6.25676663e+01
100,2.41302419e+00,2.97177100e+00,9.69098489e+01
