# M=N,Vectorized Time [s],Python Loop Time [s]
1,1.45912170e-02,7.17735291e-03
2,9.97018814e-03,7.69495964e-03
3,1.03101730e-02,1.00469589e-02
4,1.66201591e-02,1.40731335e-02
5,1.14140511e-02,2.02040672e-02
6,1.26950741e-02,2.84149647e-02
7,1.32217407e-02,4.40540314e-02
8,1.38971806e-02,5.38818836e-02
9,1.75852776e-02,7.73010254e-02
10,1.92430019e-02,9.21499729e-02
20,6.63359165e-02,6.40957355e-01
30,2.21474886e-01,2.11960077e+00
40,6.08927965e-01,5.34360623e+00
50,1.29865098e+00,1.28392887e+01
60,4.41203403e+00,1.75872531e+01
70,5.47158694e+00,3.06880238e+01
80,8.72281194e+00,4.67775948e+01
90,1.52615139e+01,7.71351690e+01
100,2.13411391e+01,9.27622328e+01
