# M=N,Vectorized Time [s],Python Loop Time [s]
1,1.25259495e+00,6.57613754e-01
2,1.20645213e+00,1.51034188e+00
3,1.17317986e+00,2.65157390e+00
4,1.19860291e+00,4.20226216e+00
5,1.22316194e+00,6.13426375e+00
6,1.31032491e+00,9.75168276e+00
7,1.46747708e+00,1.39757149e+01
8,2.46738935e+00,1.92194960e+01
9,1.46106982e+00,2.64585011e+01
10,1.52087188e+00,2.37372341e+01
12,2.06625628e+00,3.61870892e+01
14,3.01607490e+00,5.07375150e+01
15,1.83359790e+00,4.68665981e+01
16,2.30594993e+00,7.44322319e+01
