# Dimension N, Time [s]
10,0.00468146
10,0.002115383
10,0.002514761
10,0.001963973
10,0.003122026
10,0.016331319
10,0.006221316
10,0.006268015
10,0.007355114
10,0.010289098
15,0.016021456
15,0.013123942
15,0.018035839
15,0.021163295
15,0.019313397
15,0.052279042
15,0.034895279
15,0.02293293
15,0.024896092
15,0.022106109
20,0.15182917
20,0.135279126
20,0.154206487
20,0.134159264
20,0.121152119
20,0.246598084
20,0.154194918
20,0.125397048
20,0.125081821
20,0.133099624
25,0.263745717
25,0.274146063
25,0.270258578
25,0.280638643
25,0.256945279
25,0.268435931
25,0.270822789
25,0.273118283
25,0.272595343
25,0.276025205
26,0.31417989
26,0.3106525
26,0.324257167
26,0.308539872
26,0.30991873
27,2.010057283
27,2.14106807
27,2.441630072
27,2.107516924
27,1.96989411
30,3.829877111
30,3.73134616
30,3.782176789
30,3.74464737
30,5.124711444
30,3.787409835
30,3.725461215
30,3.767056482
30,3.733426742
30,3.750745781
