# Energy Eigenvalues:,2.827029,10.796689
# Position x, Psi 1,Psi 2
-1.500000000000000000e+00,4.490531360523889576e-05,-2.975509131647340369e-04
-1.496996996996996954e+00,8.982453585116975052e-05,-5.951512172247377984e-04
-1.493993993993993907e+00,1.347715796864445449e-04,-8.928503112737471662e-04
-1.490990990990991083e+00,1.797603666769686550e-04,-1.190697610803783313e-03
-1.487987987987988037e+00,2.248048313178642357e-04,-1.488742555907702396e-03
-1.484984984984984990e+00,2.699189253494369543e-04,-1.787034619485819041e-03
-1.481981981981981944e+00,3.151166220784894115e-04,-2.085623315458010833e-03
-1.478978978978978898e+00,3.604119207063058352e-04,-2.384558206982575340e-03
-1.475975975975976073e+00,4.058188506646644785e-04,-2.683888914683308854e-03
-1.472972972972973027e+00,4.513514759612085518e-04,-2.983665124886090113e-03
-1.469969969969969981e+00,4.970238995355277453e-04,-3.283936597866383023e-03
-1.466966966966966934e+00,5.428502676272953199e-04,-3.584753176108989355e-03
-1.463963963963963888e+00,5.888447741578278381e-04,-3.886164792581525695e-03
-1.460960960960961064e+00,6.350216651264040850e-04,-4.188221479022857623e-03
-1.457957957957958017e+00,6.813952430227146950e-04,-4.490973374247929188e-03
-1.454954954954954971e+00,7.279798712567997964e-04,-4.794470732470310428e-03
-1.451951951951951925e+00,7.747899786078839756e-04,-5.098763931644086610e-03
-1.448948948948948878e+00,8.218400636934265150e-04,-5.403903481826072795e-03
-1.445945945945946054e+00,8.691446994598165353e-04,-5.709940033560055063e-03
-1.442942942942943008e+00,9.167185376960961581e-04,-6.016924386284384571e-03
-1.439939939939939961e+00,9.645763135720976248e-04,-6.324907496764252401e-03
-1.436936936936936915e+00,1.012732850202405135e-03,-6.633940487550064186e-03
-1.433933933933933869e+00,1.061203063237557481e-03,-6.944074655463341322e-03
-1.430930930930931044e+00,1.110001965483913304e-03,-7.255361480111578200e-03
-1.427927927927927998e+00,1.159144671553596559e-03,-7.567852632433333913e-03
-1.424924924924924952e+00,1.208646402545979909e-03,-7.881599983275137944e-03
-1.421921921921921905e+00,1.258522490762193019e-03,-8.196655612001835234e-03
-1.418918918918918859e+00,1.308788384454006573e-03,-8.513071815141144347e-03
-1.415915915915916035e+00,1.359459652608650641e-03,-8.830901115064342111e-03
-1.412912912912912988e+00,1.410551989771063625e-03,-9.150196268704712324e-03
-1.409909909909909942e+00,1.462081220904987502e-03,-9.471010276314625886e-03
-1.406906906906906896e+00,1.514063306294479751e-03,-9.793396390263149273e-03
-1.403903903903903849e+00,1.566514346487332069e-03,-1.011740812387547372e-02
-1.400900900900900803e+00,1.619450587281953029e-03,-1.044309926031578364e-02
-1.397897897897897979e+00,1.672888424759198713e-03,-1.077052386151465015e-02
-1.394894894894894932e+00,1.726844410360789351e-03,-1.109973627714293948e-02
-1.391891891891891886e+00,1.781335256015810541e-03,-1.143079115363326327e-02
-1.388888888888888840e+00,1.836377839316978480e-03,-1.176374344325105403e-02
-1.385885885885885793e+00,1.891989208748136786e-03,-1.209864841321587996e-02
-1.382882882882882969e+00,1.948186588964752157e-03,-1.243556165487546758e-02
-1.379879879879879923e+00,2.004987386128951905e-03,-1.277453909293341239e-02
-1.376876876876876876e+00,2.062409193300787560e-03,-1.311563699473223231e-02
-1.373873873873873830e+00,2.120469795887379265e-03,-1.345891197959325769e-02
-1.370870870870870784e+00,2.179187177151610619e-03,-1.380442102821479410e-02
-1.367867867867867959e+00,2.238579523782162264e-03,-1.415222149213062053e-02
-1.364864864864864913e+00,2.298665231526489904e-03,-1.450237110322963666e-02
-1.361861861861861867e+00,2.359462910888617242e-03,-1.485492798333905642e-02
-1.358858858858858820e+00,2.420991392893425635e-03,-1.520995065387218716e-02
-1.355855855855855774e+00,2.483269734919209444e-03,-1.556749804554230683e-02
-1.352852852852852950e+00,2.546317226600369743e-03,-1.592762950814467782e-02
-1.349849849849849903e+00,2.610153395802043089e-03,-1.629040482040809007e-02
-1.346846846846846857e+00,2.674798014668525008e-03,-1.665588419991766503e-02
-1.343843843843843811e+00,2.740271105747353435e-03,-1.702412831311047800e-02
-1.340840840840840764e+00,2.806592948190967697e-03,-1.739519828534581702e-02
-1.337837837837837718e+00,2.873784084037777926e-03,-1.776915571105120231e-02
-1.334834834834834894e+00,2.941865324574716167e-03,-1.814606266394655498e-02
-1.331831831831831847e+00,3.010857756783168280e-03,-1.852598170734791674e-02
-1.328828828828828801e+00,3.080782749870308434e-03,-1.890897590455250729e-02
-1.325825825825825754e+00,3.151661961887832885e-03,-1.929510882930656965e-02
-1.322822822822822708e+00,3.223517346440214586e-03,-1.968444457635843553e-02
-1.319819819819819884e+00,3.296371159484382061e-03,-2.007704777209724095e-02
-1.316816816816816837e+00,3.370245966223099372e-03,-2.047298358528028966e-02
-1.313813813813813791e+00,3.445164648094235522e-03,-2.087231773785103509e-02
-1.310810810810810745e+00,3.521150409857833671e-03,-2.127511651584798602e-02
-1.307807807807807698e+00,3.598226786783415704e-03,-2.168144678040785991e-02
-1.304804804804804874e+00,3.676417651939594723e-03,-2.209137597886374690e-02
-1.301801801801801828e+00,3.755747223588352945e-03,-2.250497215594087982e-02
-1.298798798798798781e+00,3.836240072686223235e-03,-2.292230396505141529e-02
-1.295795795795795735e+00,3.917921130494683192e-03,-2.334344067969014100e-02
-1.292792792792792689e+00,4.000815696302273232e-03,-2.376845220493382232e-02
-1.289789789789789864e+00,4.084949445260509931e-03,-2.419740908904423338e-02
-1.286786786786786818e+00,4.170348436336345464e-03,-2.463038253517875129e-02
-1.283783783783783772e+00,4.257039120383547537e-03,-2.506744441320983216e-02
-1.280780780780780725e+00,4.345048348335311776e-03,-2.550866727165435749e-02
-1.277777777777777679e+00,4.434403379520891232e-03,-2.595412434971614002e-02
-1.274774774774774855e+00,4.525131890108710642e-03,-2.640388958944310527e-02
-1.271771771771771808e+00,4.617261981678571874e-03,-2.685803764800097013e-02
-1.268768768768768762e+00,4.710822189925640245e-03,-2.731664391006575696e-02
-1.265765765765765716e+00,4.805841493498890123e-03,-2.777978450033705485e-02
-1.262762762762762669e+00,4.902349322976745465e-03,-2.824753629617410972e-02
-1.259759759759759845e+00,5.000375569982633620e-03,-2.871997694035650223e-02
-1.256756756756756799e+00,5.099950596443433501e-03,-2.919718485397235219e-02
-1.253753753753753752e+00,5.201105243993533848e-03,-2.967923924943547190e-02
-1.250750750750750706e+00,5.303870843527503515e-03,-3.016622014363394902e-02
-1.247747747747747660e+00,5.408279224904269031e-03,-3.065820837121219569e-02
-1.244744744744744835e+00,5.514362726805962719e-03,-3.115528559798935379e-02
-1.241741741741741789e+00,5.622154206754225586e-03,-3.165753433451486132e-02
-1.238738738738738743e+00,5.731687051287136063e-03,-3.216503794976387220e-02
-1.235735735735735696e+00,5.842995186300232319e-03,-3.267788068497644305e-02
-1.232732732732732650e+00,5.956113087554454864e-03,-3.319614766764078517e-02
-1.229729729729729826e+00,6.071075791354346197e-03,-3.371992492562334021e-02
-1.226726726726726779e+00,6.187918905400017697e-03,-3.424929940144908619e-02
-1.223723723723723733e+00,6.306678619815980248e-03,-3.478435896673304217e-02
-1.220720720720720687e+00,6.427391718360424278e-03,-3.532519243676633669e-02
-1.217717717717717640e+00,6.550095589818355317e-03,-3.587188958525877602e-02
-1.214714714714714816e+00,6.674828239582039809e-03,-3.642454115924006336e-02
-1.211711711711711770e+00,6.801628301422592282e-03,-3.698323889412354765e-02
-1.208708708708708723e+00,6.930535049456147331e-03,-3.754807552893350137e-02
-1.205705705705705677e+00,7.061588410308237626e-03,-3.811914482169864726e-02
-1.202702702702702631e+00,7.194828975480392109e-03,-3.869654156501523001e-02
-1.199699699699699806e+00,7.330298013922731740e-03,-3.928036160178219327e-02
-1.196696696696696760e+00,7.468037484816260341e-03,-3.987070184111006499e-02
-1.193693693693693714e+00,7.608090050568963592e-03,-4.046766027440685393e-02
-1.190690690690690667e+00,7.750499090029750252e-03,-4.107133599164378840e-02
