# Energy Eigenvalues:,3.108855,12.108395,25.334644
# Position x, Psi 1,Psi 2,Psi 3
-1.500000000000000000e+00,1.124829058082688000e-05,6.874034749128444068e-05,8.672167689279158863e-04
-1.496996996996996954e+00,2.250203669664328172e-05,1.375028770770321627e-04,1.734506509470473863e-03
-1.493993993993993907e+00,3.376669652842857739e-05,2.063097780097344967e-04,2.601942199382486533e-03
-1.490990990990991083e+00,4.504773355042491557e-05,2.751832538602473556e-04,3.469596828699612109e-03
-1.487987987987988037e+00,5.635061917997767665e-05,3.441455296827497208e-04,4.337543405880069265e-03
-1.484984984984984990e+00,6.768083543122818679e-05,4.132188591866326204e-04,5.205854963947895674e-03
-1.481981981981981944e+00,7.904387757394705949e-05,4.824255319176426124e-04,6.074604566638351633e-03
-1.478978978978978898e+00,9.044525679879494861e-05,5.517878804505780936e-04,6.943865314545777032e-03
-1.475975975975976073e+00,1.018905028903062767e-04,6.213282875958787369e-04,7.813710351274642807e-03
-1.472972972972973027e+00,1.133851669088907472e-04,6.910691936224221251e-04,8.684212869594172893e-03
-1.469969969969969981e+00,1.249348238831534254e-04,7.610331034988611094e-04,9.555446117597109559e-03
-1.466966966966966934e+00,1.365450755138396352e-04,8.312425941558357996e-04,1.042748340486308184e-02
-1.463963963963963888e+00,1.482215528907183456e-04,9.017203217714253203e-04,1.130039810862734986e-02
-1.460960960960961064e+00,1.599699192237176372e-04,9.724890290821570308e-04,1.217426367995510031e-02
-1.457957957957958017e+00,1.717958725896384078e-04,1.043571552721947286e-03,1.304915364992189318e-02
-1.454954954954954971e+00,1.837051486957767647e-04,1.114990830591329604e-03,1.392514163580074564e-02
-1.451951951951951925e+00,1.957035236618054667e-04,1.186769909259406111e-03,1.480230134725697179e-02
-1.448948948948948878e+00,2.077968168212463026e-04,1.258931951400814276e-03,1.568070659255019206e-02
-1.445945945945946054e+00,2.199908935439066036e-04,1.331500243270182212e-03,1.656043128474490519e-02
-1.442942942942943008e+00,2.322916680806443837e-04,1.404498202216473285e-03,1.744154944793000622e-02
-1.439939939939939961e+00,2.447051064318397505e-04,1.477949384239620042e-03,1.832413522344747761e-02
-1.436936936936936915e+00,2.572372292409656779e-04,1.551877491591904671e-03,1.920826287613101521e-02
-1.433933933933933869e+00,2.698941147146610708e-04,1.626306380426530227e-03,2.009400680055497407e-02
-1.430930930930931044e+00,2.826819015707231469e-04,1.701260068495861555e-03,2.098144152729433318e-02
-1.427927927927927998e+00,2.956067920154454307e-04,1.776762742901794208e-03,2.187064172919584229e-02
-1.424924924924924952e+00,3.086750547517483367e-04,1.852838767900773231e-03,2.276168222766122157e-02
-1.421921921921921905e+00,3.218930280195743073e-04,1.929512692766051970e-03,2.365463799894370472e-02
-1.418918918918918859e+00,3.352671226699904718e-04,2.006809259709548595e-03,2.454958418045629850e-02
-1.415915915915916035e+00,3.488038252745136181e-04,2.084753411865992653e-03,2.544659607709404137e-02
-1.412912912912912988e+00,3.625097012711705905e-04,2.163370301341963932e-03,2.634574916757098997e-02
-1.409909909909909942e+00,3.763913981487968722e-04,2.242685297332296709e-03,2.724711911077096899e-02
-1.406906906906906896e+00,3.904556486711379640e-04,2.322723994306577673e-03,2.815078175211403397e-02
-1.403903903903903849e+00,4.047092741423072206e-04,2.403512220268314448e-03,2.905681312993830048e-02
-1.400900900900900803e+00,4.191591877151921346e-04,2.485076045089513411e-03,2.996528948189862082e-02
-1.397897897897897979e+00,4.338123977443978014e-04,2.567441788923226827e-03,3.087628725138103283e-02
-1.394894894894894932e+00,4.486760111853734401e-04,2.650636030696933761e-03,3.178988309393537826e-02
-1.391891891891891886e+00,4.637572370413527720e-04,2.734685616689365960e-03,3.270615388372509480e-02
-1.388888888888888840e+00,4.790633898598036238e-04,2.819617669193697808e-03,3.362517671999640245e-02
