# Energy Eigenvalues:,3.430479,13.540898,29.585924,48.373712
# Position x, Psi 1,Psi 2,Psi 3,Psi 4
-1.500000000000000000e+00,1.206413786992421742e-06,6.405833099907235430e-06,5.950251439342502498e-05,1.810599058239194042e-03
-1.496996996996996954e+00,2.413840877602917654e-06,1.281587853682950746e-05,1.190269369804861685e-04,3.621251224651799577e-03
-1.493993993993993907e+00,3.623295426554083033e-06,1.923435141772340793e-05,1.785951840211840130e-04,5.432009608968997420e-03
-1.490990990990991083e+00,4.835793291492401269e-06,2.566547239124997685e-05,2.382291879112165744e-04,7.242927324037514401e-03
-1.487987987987988037e+00,6.052352886237966544e-06,3.211347042318176824e-05,2.979509052572547421e-04,9.054057487377512384e-03
-1.484984984984984990e+00,7.273996036181203813e-06,3.858258557727907385e-05,3.577823249611308235e-04,1.086545322274062864e-02
-1.481981981981981944e+00,8.501748836545159694e-06,4.507707180346436066e-05,4.177454763159226502e-04,1.267716766166829094e-02
-1.478978978978978898e+00,9.736642514234002951e-06,5.160119973512712892e-05,4.778624371169015532e-04,1.448925394505005265e-02
-1.475975975975976073e+00,1.097971429399190455e-05,5.815925949740019486e-05,5.381553417903445213e-04,1.630176522468240394e-02
-1.472972972972973027e+00,1.223200826959960041e-05,6.475556352825276090e-05,5.986463895431931538e-04,1.811475466482774868e-02
-1.469969969969969981e+00,1.349457628084047763e-05,7.139444941425612270e-05,6.593578525365646282e-04,1.992827544377377344e-02
-1.466966966966966934e+00,1.476847879697270626e-05,7.808028274288601387e-05,7.203120840861207408e-04,2.174238075539314252e-02
-1.463963963963963888e+00,1.605478580744980655e-05,8.481745997323953518e-05,7.815315268923306779e-04,2.355712381070406564e-02
-1.460960960960961064e+00,1.735457772063730029e-05,9.161041132705111307e-05,8.430387213036348235e-04,2.537255783943104595e-02
-1.457957957957958017e+00,1.866894627128049488e-05,9.846360370191014038e-05,9.048563136155576749e-04,2.718873609156612775e-02
-1.454954954954954971e+00,1.999899543748541821e-05,1.053815436085944854e-04,9.670070644088209211e-04,2.900571183893040084e-02
-1.451951951951951925e+00,2.134584236798410902e-05,1.123687801344571080e-04,1.029513856929573003e-03,3.082353837673736455e-02
-1.448948948948948878e+00,2.271061832046139520e-05,1.194299079348052175e-04,1.092399705514736884e-03,3.264226902515552503e-02
-1.445945945945946054e+00,2.409446961173265922e-05,1.265695702542461818e-04,1.155687764065646333e-03,3.446195713087248091e-02
-1.442942942942943008e+00,2.549855858057035663e-05,1.337924619799853360e-04,1.219401334573074272e-03,3.628265606865987980e-02
-1.439939939939939961e+00,2.692406456398763507e-05,1.411033327290821412e-04,1.283563875696778480e-03,3.810441924293898885e-02
-1.436936936936936915e+00,2.837218488779941523e-05,1.485069899716953223e-04,1.348199011402729901e-03,3.992730008934716746e-02
-1.433933933933933869e+00,2.984413587229265577e-05,1.560083021923709407e-04,1.413330539661204581e-03,4.175135207630514822e-02
-1.430930930930931044e+00,3.134115385385085315e-05,1.636122020914528030e-04,1.478982441208948713e-03,4.357662870658555315e-02
-1.427927927927927998e+00,3.286449622339026168e-05,1.713236898287176394e-04,1.545178888378614945e-03,4.540318351888168041e-02
-1.424924924924924952e+00,3.441544248248057576e-05,1.791478363113709559e-04,1.611944253998752290e-03,4.723107008937781071e-02
-1.421921921921921905e+00,3.599529531803824278e-05,1.870897865285712602e-04,1.679303120367671171e-03,4.906034203332202553e-02
-1.418918918918918859e+00,3.760538169649202330e-05,1.951547629346592238e-04,1.747280288304347770e-03,5.089105300659783893e-02
-1.415915915915916035e+00,3.924705397834212634e-05,2.033480688833287880e-04,1.815900786279805654e-03,5.272325670729749447e-02
-1.412912912912912988e+00,4.092169105404964697e-05,2.116750921150016161e-04,1.885189879632371071e-03,5.455700687729814202e-02
-1.409909909909909942e+00,4.263069950220812706e-05,2.201413082996859160e-04,1.955173079870076418e-03,5.639235730383748701e-02
-1.406906906906906896e+00,4.437551477097176084e-05,2.287522846376588014e-04,2.025876154063733798e-03,5.822936182109159781e-02
-1.403903903903903849e+00,4.615760238373184989e-05,2.375136835203361843e-04,2.097325134334090870e-03,6.006807431175391343e-02
-1.400900900900900803e+00,4.797845917005508058e-05,2.464312662537416283e-04,2.169546327436609138e-03,6.190854870861638160e-02
-1.397897897897897979e+00,4.983961452291543894e-05,2.555108968470128040e-04,2.242566324447299413e-03,6.375083899615056893e-02
-1.394894894894894932e+00,5.174263168327829666e-05,2.647585458684488329e-04,2.316412010553292947e-03,6.559499921209166473e-02
-1.391891891891891886e+00,5.368910905311347737e-05,2.741802943716236556e-04,2.391110574951653672e-03,6.744108344902269292e-02
-1.388888888888888840e+00,5.568068153794273559e-05,2.837823378941607320e-04,2.466689520860205001e-03,6.928914585596267217e-02
-1.385885885885885793e+00,5.771902192004522042e-05,2.935709905317774194e-04,2.543176675643855824e-03,7.113924063995304137e-02
-1.382882882882882969e+00,5.980584226347893334e-05,3.035526890903007271e-04,2.620600201060376520e-03,7.299142206764860918e-02
-1.379879879879879923e+00,6.194289535209531871e-05,3.137339973183717805e-04,2.698988603629257511e-03,7.484574446690930860e-02
-1.376876876876876876e+00,6.413197616175606887e-05,3.241216102236257218e-04,2.778370745127518773e-03,7.670226222839400532e-02
-1.373873873873873830e+00,6.637492336798774136e-05,3.347223584751835360e-04,2.858775853216307533e-03,7.856102980715584660e-02
-1.370870870870870784e+00,6.867362089034059053e-05,3.455432128953479657e-04,2.940233532202177289e-03,8.042210172423859549e-02
-1.367867867867867959e+00,7.102999947475071142e-05,3.565912890434700549e-04,3.022773773937120420e-03,8.228553256827694784e-02
-1.364864864864864913e+00,7.344603831523119732e-05,3.678738518949811048e-04,3.106426968861203744e-03,8.415137699709639152e-02
-1.361861861861861867e+00,7.592376671625843283e-05,3.793983206186883118e-04,3.191223917192048416e-03,8.601968973931767293e-02
-1.358858858858858820e+00,7.846526579724683070e-05,3.911722734554607100e-04,3.277195840265152271e-03,8.789052559596238767e-02
-1.355855855855855774e+00,8.107267024054345733e-05,4.032034527015121092e-04,3.364374392029224458e-03,8.976393944205937614e-02
-1.352852852852852950e+00,8.374817008441265756e-05,4.154997697995668651e-04,3.452791670700824933e-03,9.163998622825439422e-02
-1.349849849849849903e+00,8.649401256251580856e-05,4.280693105412534624e-04,3.542480230582591844e-03,9.351872098242179632e-02
-1.346846846846846857e+00,8.931250399143132669e-05,4.409203403841468940e-04,3.633473094049398389e-03,9.540019881127895229e-02
-1.343843843843843811e+00,9.220601170780039668e-05,4.540613098869555214e-04,3.725803763706847949e-03,9.728447490200292647e-02
-1.340840840840840764e+00,9.517696605672560739e-05,4.675008602664287101e-04,3.819506234726609533e-03,9.917160452384969627e-02
-1.337837837837837718e+00,9.822786243309025451e-05,4.812478290796262095e-04,3.914615007363011871e-03,1.010616430297740370e-01
-1.334834834834834894e+00,1.013612633775167030e-04,4.953112560353063612e-04,4.011165099655689646e-03,1.029546458580532509e-01
-1.331831831831831847e+00,1.045798007287220596e-04,5.097003889382416145e-04,4.109192060322851975e-03,1.048506685339133382e-01
-1.328828828828828801e+00,1.078861778340799984e-04,5.244246897703771062e-04,4.208731981849952314e-03,1.067497666711580140e-01
-1.325825825825825754e+00,1.112831718202438085e-04,5.394938409128218447e-04,4.309821513778544153e-03,1.086519959737994728e-01
-1.322822822822822708e+00,1.147736359257416246e-04,5.549177515127831422e-04,4.412497876200330640e-03,1.105574122376942886e-01
-1.319819819819819884e+00,1.183605018974954591e-04,5.707065639995938071e-04,4.516798873461104480e-03,1.124660713521773853e-01
-1.316816816816816837e+00,1.220467824532843378e-04,5.868706607541522092e-04,4.622762908079886338e-03,1.143780293017010452e-01
-1.313813813813813791e+00,1.258355738122204264e-04,6.034206709361653693e-04,4.730428994888450332e-03,1.162933421674799822e-01
-1.310810810810810745e+00,1.297300582953556775e-04,6.203674774736447472e-04,4.839836775396086019e-03,1.182120661291342911e-01
-1.307807807807807698e+00,1.337335069986113356e-04,6.377222242192893660e-04,4.951026532385231251e-03,1.201342574663385593e-01
-1.304804804804804874e+00,1.378492825402695833e-04,6.554963232784364506e-04,5.064039204743121976e-03,1.220599725604715052e-01
-1.301801801801801828e+00,1.420808418853394047e-04,6.737014625134171795e-04,5.178916402535069068e-03,1.239892678962702111e-01
-1.298798798798798781e+00,1.464317392491664197e-04,6.923496132292403715e-04,5.295700422324843039e-03,1.259222000634868111e-01
-1.295795795795795735e+00,1.509056290827249646e-04,7.114530380456568145e-04,5.414434262747759401e-03,1.278588257585470400e-01
-1.292792792792792689e+00,1.555062691421064676e-04,7.310242989608093820e-04,5.535161640342465932e-03,1.297992017862166225e-01
-1.289789789789789864e+00,1.602375236447688535e-04,7.510762656117135486e-04,5.657927005646753126e-03,1.317433850612639568e-01
-1.286786786786786818e+00,1.651033665152113774e-04,7.716221237370542597e-04,5.782775559563813235e-03,1.336914326101303618e-01
-1.283783783783783772e+00,1.701078847227973994e-04,7.926753838478567751e-04,5.909753270004831222e-03,1.356434015726052100e-01
-1.280780780780780725e+00,1.752552817145208535e-04,8.142498901116891792e-04,6.038906888813755369e-03,1.375993492034989496e-01
-1.277777777777777679e+00,1.805498809456100617e-04,8.363598294562921229e-04,6.170283968980871600e-03,1.395593328743235939e-01
-1.274774774774774855e+00,1.859961295109297170e-04,8.590197408985960920e-04,6.303932882151324149e-03,1.415234100749755697e-01
-1.271771771771771808e+00,1.915986018802308670e-04,8.822445251052635435e-04,6.439902836435021892e-03,1.434916384154219515e-01
-1.268768768768768762e+00,1.973620037403871219e-04,9.060494541910445003e-04,6.578243894524558703e-03,1.454640756273903324e-01
-1.265765765765765716e+00,2.032911759478447564e-04,9.304501817613909697e-04,6.719006992127779694e-03,1.474407795660626630e-01
-1.262762762762762669e+00,2.093910985946058833e-04,9.554627532059315658e-04,6.862243956721781300e-03,1.494218082117726443e-01
-1.259759759759759845e+00,2.156668951911564912e-04,9.811036162495590743e-04,7.008007526635160953e-03,1.514072196717044516e-01
-1.256756756756756799e+00,2.221238369698600237e-04,1.007389631768106173e-03,7.156351370465750990e-03,1.533970721815982319e-01
