# Energy Eigenvalues:,3.419352,13.498282,29.499628,48.207332
# Position x, Psi 1,Psi 2,Psi 3,Psi 4
-2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.986622073578595327e+00,4.472845324546978155e-08,4.098817701716084814e-07,1.092912361483210188e-05,2.895846715032773973e-03
-1.973244147157190653e+00,9.020369908971071357e-08,8.251246180044398183e-07,2.193849263352344429e-05,5.793551689455072110e-03
-1.959866220735785980e+00,1.371849958013066700e-07,1.251159729037549511e-06,3.310894158940113014e-05,8.694974375087346011e-03
-1.946488294314381307e+00,1.864567468395370945e-07,1.693559446815029536e-06,4.452248771993683646e-05,1.160197660939832863e-02
-1.933110367892976633e+00,2.388415973167991196e-07,2.158110156579791223e-06,5.626293316521435565e-05,1.451642381024263392e-02
-1.919732441471571960e+00,2.952141689474715594e-07,2.650887968536538068e-06,6.841648027176261654e-05,1.744018617289587111e-02
-1.906354515050167286e+00,3.565156628030302796e-07,3.178338190586266194e-06,8.107236451952440023e-05,2.037513987015543773e-02
-1.892976588628762613e+00,4.237695736821986169e-07,3.747359629999212466e-06,9.432350971912595479e-05,2.332316825627705689e-02
-1.879598662207357940e+00,4.980987784645440572e-07,4.365394826653481928e-06,1.082672102901289775e-04,2.628616307551965084e-02
-1.866220735785953266e+00,5.807442837560829133e-07,5.040527398048788174e-06,1.230058456297840027e-04,2.926602567607408667e-02
-1.852842809364548593e+00,6.730859458391393497e-07,5.781587769323507974e-06,1.386476318174240249e-04,3.226466823015471108e-02
-1.839464882943143920e+00,7.766655088684720293e-07,6.598268671175276911e-06,1.553074161737675490e-04,3.528401496103664853e-02
-1.826086956521739246e+00,8.932123459613204282e-07,7.501251916345090680e-06,1.731075205090567897e-04,3.832600337782627459e-02
-1.812709030100334573e+00,1.024672332956775507e-06,8.502348112843339815e-06,1.921786392514449526e-04,4.139258551875713010e-02
-1.799331103678929678e+00,1.173240336923198617e-06,9.614651141302878800e-06,2.126607990499984092e-04,4.448572920380924889e-02
-1.785953177257525004e+00,1.341396861844535818e-06,1.085270941695222061e-05,2.347043868980430844e-04,4.760741929745532230e-02
-1.772575250836120331e+00,1.531949463325048113e-06,1.223271617623739625e-05,2.584712543256924224e-04,5.075965898234478108e-02
-1.759197324414715657e+00,1.748079623775826622e-06,1.377272127695420545e-05,2.841359057689071734e-04,5.394447104474213439e-02
-1.745819397993310984e+00,1.993395870715219265e-06,1.549286728214003238e-05,3.118867798405033052e-04,5.716389917254516284e-02
-1.732441471571906311e+00,2.271994025050807836e-06,1.741565291559456753e-05,3.419276329106334155e-04,6.042000926671556998e-02
-1.719063545150501637e+00,2.588525585253373208e-06,1.956622733490726907e-05,3.744790351554611605e-04,6.371489076696375264e-02
-1.705685618729096964e+00,2.948275389170825141e-06,2.197271907094828860e-05,4.097799900585287394e-04,6.705065799253830117e-02
-1.692307692307692291e+00,3.357249850130351179e-06,2.466660393620116965e-05,4.480896892557464299e-04,7.042945149898073576e-02
-1.678929765886287617e+00,3.822277240526243192e-06,2.768311671401015972e-05,4.896894156086754792e-04,7.385343945171585212e-02
-1.665551839464882944e+00,4.351121697236715192e-06,3.106171201344944723e-05,5.348846084791154115e-04,7.732481901735953345e-02
-1.652173913043478271e+00,4.952612852313861552e-06,3.484658031758546736e-05,5.840071063689460888e-04,8.084581777363630817e-02
-1.638795986622073597e+00,5.636793253271764546e-06,3.908722597480779532e-05,6.374175833914500974e-04,8.441869513881181120e-02
-1.625418060200668924e+00,6.415086034314445470e-06,4.383911469309115000e-05,6.955081974635174977e-04,8.804574382155726242e-02
-1.612040133779264250e+00,7.300485637956743317e-06,4.916439900611775004e-05,7.587054696626622033e-04,9.172929129217624600e-02
-1.598662207357859577e+00,8.307774771342532884e-06,5.513273120002542746e-05,8.274734158900709817e-04,9.547170127613806290e-02
