# Energy Eigenvalues:,3.413637,13.476072,29.454787,48.260963
# Position x, Psi 1,Psi 2,Psi 3,Psi 4
-1.500000000000000000e+00,-2.733003354165792069e-37,3.176597986751192020e-36,2.646149517396128990e-35,2.688831161002529840e-33
-1.484924623115577935e+00,6.385160191959788690e-06,3.335339828562705117e-05,3.107210979140582314e-04,8.921359951989423290e-03
-1.469849246231155870e+00,1.281888289321355721e-05,6.699367975875625551e-05,6.148552292297919213e-04,1.784826615000422584e-02
-1.454773869346733584e+00,1.948785510275988277e-05,1.016368255182273584e-04,9.173034014354543861e-04,2.678814281874697736e-02
-1.439698492462311519e+00,2.657876381959704441e-05,1.379988166628785872e-04,1.222966622019284631e-03,3.574841418291985901e-02
-1.424623115577889454e+00,3.427829604272361933e-05,1.767956342915496940e-04,1.536745898469536135e-03,4.473650446722543528e-02
-1.409547738693467389e+00,4.277313877113809326e-05,2.187432595030798618e-04,1.863542238274457389e-03,5.375983789636616661e-02
-1.394472361809045324e+00,5.224997900383892820e-05,2.645576733963083955e-04,2.208256648922296561e-03,6.282583869504446139e-02
-1.379396984924623037e+00,6.289550373982476911e-05,3.149548570700752234e-04,2.575790137901308105e-03,7.194193108796291536e-02
-1.364321608040200973e+00,7.489639997809380018e-05,3.706507916232181865e-04,2.971043712699729562e-03,8.111553929982368016e-02
-1.349246231155778908e+00,8.843859600287566972e-05,4.323594134678533239e-04,3.398918380805814304e-03,9.035408755532935154e-02
-1.334170854271356843e+00,1.034604908788275241e-04,5.001463484201281763e-04,3.864315149707812230e-03,9.966500007918238646e-02
-1.319095477386934778e+00,1.202633912313284315e-04,5.751232290894719773e-04,4.372135026893969774e-03,1.090557010960851725e-01
-1.304020100502512491e+00,1.394912854714106128e-04,6.593405535943187281e-04,4.927279019852545509e-03,1.185336148307403470e-01
-1.288944723618090427e+00,1.617881620101056111e-04,7.548488200530989066e-04,5.534648136071769822e-03,1.281061655078500061e-01
-1.273869346733668362e+00,1.877980092584456066e-04,8.636985265842462428e-04,6.199143383039901721e-03,1.377807773521168011e-01
-1.258793969849246297e+00,2.181648156274627252e-04,9.879401713061937082e-04,6.925665768245189806e-03,1.475648745882431334e-01
-1.243718592964824232e+00,2.535325695281888218e-04,1.129624252337374166e-03,7.719116299175878340e-03,1.574658814409314322e-01
-1.228643216080401945e+00,2.945452593716566458e-04,1.290801267796222321e-03,8.584395983320234139e-03,1.674912221348842933e-01
-1.213567839195979881e+00,3.418468735688968865e-04,1.473521715801167026e-03,9.526405828166478046e-03,1.776483208948038961e-01
-1.198492462311557816e+00,3.960827002397034817e-04,1.679840402183264709e-03,1.055004224820907562e-02,1.879445805471265940e-01
-1.183417085427135751e+00,4.582777066693543709e-04,1.912914056099941900e-03,1.166196875116548397e-02,1.983853812074175549e-01
-1.168341708542713686e+00,5.301574491808325705e-04,2.177706736531110146e-03,1.287659878925710884e-02,2.089784764852396781e-01
-1.153266331658291399e+00,6.134945768814605883e-04,2.479233838865822249e-03,1.421026051127912901e-02,2.197336751653197473e-01
-1.138190954773869334e+00,7.100617388785570834e-04,2.822510758493116268e-03,1.567928206602665214e-02,2.306607860323840742e-01
-1.123115577889447270e+00,8.216277850766172267e-04,3.212545012123456563e-03,1.729999160229485008e-02,2.417696178711593036e-01
-1.108040201005025205e+00,9.500652084421273196e-04,3.654682982922680123e-03,1.908871726887887213e-02,2.530699794663721081e-01
-1.092964824120603140e+00,1.098599026312840595e-03,4.157464514445460661e-03,2.106178721457386757e-02,2.645716796027490769e-01
-1.077889447236180853e+00,1.270880082425559056e-03,4.730387489579100310e-03,2.323552958817502734e-02,2.762845270650169383e-01
-1.062814070351758788e+00,1.470559220517077444e-03,5.382949791210881255e-03,2.562627253847744174e-02,2.882183306379019205e-01
-1.047738693467336724e+00,1.701276375404381673e-03,6.124628602056658017e-03,2.825012397503047501e-02,3.003828991061308074e-01
-1.032663316582914659e+00,1.966928027894452105e-03,6.965644832648397282e-03,3.111686010091994914e-02,3.127880412544302158e-01
-1.017587939698492594e+00,2.274223100793803555e-03,7.922324462154366545e-03,3.425861279553814309e-02,3.254435658675266518e-01
