# Energy Eigenvalues:,4.740917,18.959082,42.640741,75.762981,118.293760,170.191932,231.407289,301.880609,381.543713,470.319533
# Position x, Psi 1,Psi 2,Psi 3,Psi 4,Psi 5,Psi 6,Psi 7,Psi 8,Psi 9,Psi 10
-5.000000000000000000e-01,4.354462280082454367e-02,-8.704961667714442020e-02,-1.304753700228342972e-01,-1.737823060181956647e-01,-2.169309003953275028e-01,-2.598816996468198970e-01,3.025953398204738742e-01,-3.450325660362327240e-01,3.871542528581885523e-01,4.289214256441542528e-01
-4.898989898989898895e-01,8.704711899137430875e-02,-1.737624552982496018e-01,-2.598154341785032795e-01,-3.448778932233424466e-01,-4.286252796418292821e-01,-5.107378368817544478e-01,5.909017770251221435e-01,-6.688104353872204033e-01,7.441654037475714523e-01,8.166776386297215362e-01
-4.797979797979797789e-01,1.304654027161494256e-01,-2.598030407361506255e-01,-3.868947652413956551e-01,-5.106415801610899585e-01,-6.299730216057894960e-01,-7.438563025947926288e-01,8.513051475386598232e-01,-9.513882432269453737e-01,1.043237235925566386e+00,1.126054207564596288e+00
-4.696969696969697239e-01,1.737574695897712296e-01,-3.448384986806501962e-01,-5.106076073119411030e-01,-6.685106179163111673e-01,-8.161137688778129506e-01,-9.511410082021048984e-01,1.071508902431056232e+00,-1.175358630984548514e+00,1.261084579032330177e+00,1.327359092158033160e+00
-4.595959595959596133e-01,2.168814373335128109e-01,-4.285398434645597554e-01,-6.298774973349130502e-01,-8.160443108655357491e-01,-9.825542475260974351e-01,-1.125393058783305422e+00,1.241114765208151116e+00,-1.326924574474882323e+00,1.380746248660295494e+00,1.401272300709786922e+00
-4.494949494949495028e-01,2.597955862936984772e-01,-5.105832508453330698e-01,-7.436666317317818242e-01,-9.509617504543301791e-01,-1.125276730777392986e+00,-1.260560767128180659e+00,1.352113750477986098e+00,-1.396749308204441986e+00,1.392905612271585269e+00,1.340700102838482177e+00
-4.393939393939393923e-01,3.024583998027770004e-01,-5.906513108181592475e-01,-8.509848966452167041e-01,-1.071177078625817680e+00,-1.240836023407804856e+00,-1.351949825829188878e+00,1.399264357522423508e+00,-1.380531488814260577e+00,1.296615964684732392e+00,1.151455841635640187e+00
-4.292929292929292817e-01,3.448286043440133009e-01,-6.684342556136018132e-01,-9.508984832208059457e-01,-1.174831735718689041e+00,-1.326442625725500424e+00,-1.396386338247246339e+00,1.380340080035183492e+00,-1.279270166440376277e+00,1.099374236759530277e+00,8.517020051260436597e-01
-4.191919191919191712e-01,3.868652094809491571e-01,-7.436311581289197781e-01,-1.042538012961832017e+00,-1.260323194274003633e+00,-1.380030069639951229e+00,-1.392327046366333532e+00,1.296234544330130634e+00,-1.099203241225745753e+00,8.165372984604919449e-01,4.702071035481629191e-01
-4.090909090909090606e-01,4.285275475130063683e-01,-8.159510961565736853e-01,-1.125106102455924351e+00,-1.326329734518799874e+00,-1.400304801384231190e+00,-1.339912927378264840e+00,1.150919311270876877e+00,-8.514231961856719710e-01,4.701263018445908659e-01,4.358464653965984925e-02
-3.989898989898990056e-01,4.697753128188562055e-01,-8.851142779057210586e-01,-1.197884301650574468e+00,-1.371830878491169026e+00,-1.386777406765278053e+00,-1.240964297614785439e+00,9.512563345643416657e-01,-5.511937780513197493e-01,8.711215557941738574e-02,-3.872207939622896444e-01
-3.888888888888888951e-01,5.105686008495111672e-01,-9.508531244623142920e-01,-1.260239345305510961e+00,-1.396123166890068656e+00,-1.339774425192104657e+00,-1.098917593865079478e+00,7.066739313546018808e-01,-2.170097199191730608e-01,-3.026843792788488363e-01,-7.808631892623197901e-01
-3.787878787878787845e-01,5.508679467333960078e-01,-1.012913304999929709e+00,-1.311628663226098723e+00,-1.398831034735679602e+00,-1.260430467301636881e+00,-9.187060276320676566e-01,4.287215661611124551e-01,1.305425713267952814e-01,-6.689144776544744264e-01,-1.099563188772792133e+00
-3.686868686868686740e-01,5.906343634560620171e-01,-1.071054720736327459e+00,-1.351605101331577519e+00,-1.379912617699866173e+00,-1.150660826455810914e+00,-7.065882571459801698e-01,1.305244717797432175e-01,4.700531788849354187e-01,-9.830641528925697648e-01,-1.312733947282053393e+00
-3.585858585858585634e-01,6.298293795776014337e-01,-1.125052433828989784e+00,-1.379820812478673497e+00,-1.339660399339367203e+00,-1.013115245244270435e+00,-4.699310272710880976e-01,-1.738361394203234989e-01,7.806075697650085576e-01,-1.220674302131004252e+00,-1.399916660258599954e+00
-3.484848484848485084e-01,6.684150764512843956e-01,-1.174697537615940979e+00,-1.396030283185366372e+00,-1.278696689225353289e+00,-8.511139530286619959e-01,-2.169533261137582825e-01,-4.699880066629904540e-01,1.043074971882922641e+00,-1.363245046046631437e+00,-1.352744072757206428e+00
-3.383838383838383423e-01,7.063541249074030137e-01,-1.219797964835043880e+00,-1.400092469918353899e+00,-1.197964001878602858e+00,-6.685675185259277731e-01,4.355905635421226246e-02,-7.439464955747218111e-01,1.241286867913288905e+00,-1.399676094664872528e+00,-1.175743516545536549e+00
-3.282828282828282873e-01,7.436098213668334012e-01,-1.260179230694924879e+00,-1.391972026355720704e+00,-1.098710485254412950e+00,-4.698824521187533465e-01,3.025586544196554040e-01,-9.827749688260694061e-01,1.363033008319576300e+00,-1.327130995059740304e+00,-8.859024049387490551e-01
-3.181818181818181768e-01,7.801461233493658387e-01,-1.295685107922717627e+00,-1.371739610946012267e+00,-9.824706240565717064e-01,-2.598548365703600149e-01,5.510505406206903656e-01,-1.175195669138280108e+00,1.400813587165591567e+00,-1.151257972243840744e+00,-5.110378864473735794e-01
-3.080808080808080662e-01,8.159276843424922987e-01,-1.326178231177054911e+00,-1.339571272087616505e+00,-8.510415162121479637e-01,-4.355455380468131743e-02,7.804047151119916093e-01,-1.312122268051498786e+00,1.352301245172788935e+00,-8.857501689920873611e-01,-8.712712774869210697e-02
-2.979797979797979557e-01,8.509198879968707940e-01,-1.351540628487884810e+00,-1.295746916278114780e+00,-7.064550892787828662e-01,1.737970975844171928e-01,9.826558212751027588e-01,-1.387088932884538162e+00,1.220484439710266544e+00,-5.512795234992685645e-01,3.451455511705059931e-01
-2.878787878787878451e-01,8.850888816153976713e-01,-1.371674177667088212e+00,-1.240647872562719911e+00,-5.509466863259390168e-01,3.869534398891614213e-01,1.150779778599430037e+00,-1.396555650847149055e+00,1.013483349839116920e+00,-1.738872911519161457e-01,7.442933051905510355e-01
-2.777777777777777901e-01,9.184016089035186292e-01,-1.386500985924181251e+00,-1.174753574474326046e+00,-3.869205069604352287e-01,5.907690664733774577e-01,1.278937725511319679e+00,-1.340075392546418609e+00,7.440496570289260037e-01,2.170434786377513359e-01,1.072008413610018307e+00
-2.676767676767676241e-01,9.508258419490536184e-01,-1.395963691218384817e+00,-1.098637388336554110e+00,-2.169124377867921172e-01,7.803240473633997754e-01,1.362678800137837598e+00,-1.220315221232745939e+00,4.287810160554640371e-01,5.910756513955049973e-01,1.296838817093661111e+00
-2.575757575757575690e-01,9.823302124006120239e-01,-1.400025684181200880e+00,-1.012961624229020252e+00,-4.355084695297901237e-02,9.510426920306402909e-01,1.399094716529995841e+00,-1.042930350982359977e+00,8.709860624461633616e-02,9.190877856291793657e-01,1.397206690850787192e+00
-2.474747474747474585e-01,1.012884241814459019e+00,-1.398671249750968126e+00,-9.184717730259654989e-01,1.304840510921021490e-01,1.098804002536723612e+00,1.386920767989977099e+00,-8.162971009349827556e-01,-2.599492520475285007e-01,1.175541473491725331e+00,1.363479350151093339e+00
-2.373737373737373479e-01,1.042458371140439821e+00,-1.391905627971377957e+00,-8.159900196534787264e-01,3.025016323981860600e-01,1.220041150799375362e+00,1.326579749706889411e+00,-5.511173557969591963e-01,-5.909837160989493965e-01,1.340469713183608302e+00,1.198893735537308158e+00
-2.272727272727272374e-01,1.071023989318451664e+00,-1.379754993718765199e+00,-7.064080890084621922e-01,4.698424612467607675e-01,1.311827578685372142e+00,1.220167275289742337e+00,-2.599132104432997914e-01,-8.856124003252766608e-01,1.401031502159037601e+00,9.192457513897007715e-01
-2.171717171717171269e-01,1.098553460957793160e+00,-1.362266355436589027e+00,-5.906794867891578260e-01,6.299194057061596741e-01,1.371947642550017887e+00,1.071378997147157897e+00,4.356433791383636928e-02,-1.125685588049202268e+00,1.352511613432850757e+00,5.513742731962344434e-01
-2.070707070707070718e-01,1.125020153072616269e+00,-1.339507373268894908e+00,-4.698112027521413880e-01,7.802576353516479379e-01,1.398950096926105502e+00,8.853822583139012714e-01,3.449847277491551734e-01,-1.296414290376280531e+00,1.198687714285185058e+00,1.305853190885991333e-01
-1.969696969696969613e-01,1.150398460847614102e+00,-1.311566097296353872e+00,-3.448549485882611565e-01,9.185328827755424586e-01,1.392183126313108144e+00,6.686366331925782669e-01,6.301145389467461833e-01,-1.387281277512468547e+00,9.515362441920689474e-01,-3.027364023488537947e-01
-1.868686868686868507e-01,1.174663832409049702e+00,-1.278550626887633435e+00,-2.168980066594418665e-01,1.042607377354673348e+00,1.351810079430237010e+00,4.286695897414745104e-01,8.854896113926823409e-01,-1.392688961170759354e+00,6.302999517731002754e-01,-7.070033654154219693e-01
-1.767676767676767402e-01,1.197792792577091037e+00,-1.240588692483923561e+00,-8.705376922424559738e-02,1.150562895729922541e+00,1.278805526121896019e+00,1.738150642493224429e-01,1.099050838218845083e+00,-1.312304217213778657e+00,2.599896905756214349e-01,-1.043416539541613730e+00
