# Energy Eigenvalues:,4.934802,19.739209,44.413221,78.956839,123.370071
# Position x, Psi 1,Psi 2,Psi 3,Psi 4,Psi 5
-5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.966555183946488317e-01,1.485886686211665940e-02,2.971609336723039091e-02,4.457003937405278754e-02,5.941906527651423520e-02,7.426153253060951975e-02
-4.933110367892976633e-01,2.971609336463272230e-02,5.941906494413645712e-02,8.909579881633995779e-02,1.187331909883087566e-01,1.483181558679760870e-01
-4.899665551839464950e-01,4.457003932903701171e-02,8.909579873464264221e-02,1.335330423874155070e-01,1.778376229081876370e-01,2.219655262446663946e-01
-4.866220735785953266e-01,5.941906493897668173e-02,1.187331903285412521e-01,1.778376220875516889e-01,2.366279771475771898e-01,2.950004291412803292e-01
-4.832775919732441583e-01,7.426153092128637279e-02,1.483181526880310852e-01,2.219655217173778783e-01,2.950004245081193077e-01,3.672213400144266893e-01
-4.799331103678929900e-01,8.909579872695744251e-02,1.778376219265849767e-01,2.658729006075764012e-01,3.528518738536304822e-01,4.384289803615633030e-01
-4.765886287625418216e-01,1.039202307120272173e-01,2.072785630775942356e-01,3.095161371741913525e-01,4.100801541785749071e-01,5.084268675883562016e-01
-4.732441471571906533e-01,1.187331903183683618e-01,2.366279758502429775e-01,3.528518722562777321e-01,4.665841950515016712e-01,5.770218571613153768e-01
-4.698996655518394849e-01,1.335330422543584139e-01,2.658729003700706084e-01,3.958370521928358254e-01,5.222642051147666775e-01,6.440246755497492925e-01
-4.665551839464883166e-01,1.483181526754093205e-01,2.950004229016875978e-01,4.384289715962343403e-01,5.770218483252914643e-01,7.092504424864956025e-01
-4.632107023411371483e-01,1.630868893643375450e-01,3.239976815511173003e-01,4.805853157796266539e-01,6.307604176251030426e-01,7.725191811063609748e-01
-4.598662207357859799e-01,1.778376219115541390e-01,3.528518719452464203e-01,5.222642027962097755e-01,6.833850057349339924e-01,8.336563145546469489e-01
